"seriesid","date"
"00013d14-aea4-5fbd-8aab-343427853a53","2020-01-22"
"00013d14-aea4-5fbd-8aab-343427853a53","2020-02-21"
"00013d14-aea4-5fbd-8aab-343427853a53","2020-03-20"
"00013d14-aea4-5fbd-8aab-343427853a53","2020-04-22"
"00013d14-aea4-5fbd-8aab-343427853a53","2020-05-23"
"00013d14-aea4-5fbd-8aab-343427853a53","2020-06-22"
"00013d14-aea4-5fbd-8aab-343427853a53","2020-07-22"
"00013d14-aea4-5fbd-8aab-343427853a53","2020-08-21"
"000154cf-8aa3-5c4e-8ee9-634c5969af1e","2020-05-29"
"000154cf-8aa3-5c4e-8ee9-634c5969af1e","2020-07-02"
"000154cf-8aa3-5c4e-8ee9-634c5969af1e","2020-07-31"
"0001f056-88dd-5e55-934d-0ffbc88e827a","2020-03-06"
"0001f056-88dd-5e55-934d-0ffbc88e827a","2020-04-06"
"0001f056-88dd-5e55-934d-0ffbc88e827a","2020-05-06"
"0001f056-88dd-5e55-934d-0ffbc88e827a","2020-06-04"
"0001f056-88dd-5e55-934d-0ffbc88e827a","2020-07-06"
"0001f056-88dd-5e55-934d-0ffbc88e827a","2020-08-06"
"00027584-f750-5592-8be9-5c42ff5f4a69","2019-12-09"
"00027584-f750-5592-8be9-5c42ff5f4a69","2020-01-08"
"00027584-f750-5592-8be9-5c42ff5f4a69","2020-02-10"
"00027584-f750-5592-8be9-5c42ff5f4a69","2020-03-09"
"00027584-f750-5592-8be9-5c42ff5f4a69","2020-04-07"
"00027584-f750-5592-8be9-5c42ff5f4a69","2020-05-10"
"00027584-f750-5592-8be9-5c42ff5f4a69","2020-06-07"
"00027584-f750-5592-8be9-5c42ff5f4a69","2020-07-07"
"00027584-f750-5592-8be9-5c42ff5f4a69","2020-08-09"
"00064e6a-898d-5e0e-bf76-34d742facde0","2019-03-01"
"00064e6a-898d-5e0e-bf76-34d742facde0","2019-04-01"
"00064e6a-898d-5e0e-bf76-34d742facde0","2019-05-01"
"00064e6a-898d-5e0e-bf76-34d742facde0","2019-06-03"
"00064e6a-898d-5e0e-bf76-34d742facde0","2019-07-01"
"00064e6a-898d-5e0e-bf76-34d742facde0","2019-08-01"
"00064e6a-898d-5e0e-bf76-34d742facde0","2019-09-02"
"00064e6a-898d-5e0e-bf76-34d742facde0","2019-10-01"
"00064e6a-898d-5e0e-bf76-34d742facde0","2019-11-01"
"00064e6a-898d-5e0e-bf76-34d742facde0","2019-12-02"
"00064e6a-898d-5e0e-bf76-34d742facde0","2020-01-02"
"00064e6a-898d-5e0e-bf76-34d742facde0","2020-02-03"
"00064e6a-898d-5e0e-bf76-34d742facde0","2020-03-02"
"00064e6a-898d-5e0e-bf76-34d742facde0","2020-04-01"
"00064e6a-898d-5e0e-bf76-34d742facde0","2020-05-01"
"00064e6a-898d-5e0e-bf76-34d742facde0","2020-06-01"
"00064e6a-898d-5e0e-bf76-34d742facde0","2020-07-01"
"00064e6a-898d-5e0e-bf76-34d742facde0","2020-08-03"
"0006aaa0-75f5-5560-a3d4-9a68faf32ebf","2020-06-29"
"0006aaa0-75f5-5560-a3d4-9a68faf32ebf","2020-07-27"
"0006aaa0-75f5-5560-a3d4-9a68faf32ebf","2020-08-27"
"0007d7d1-08b6-5ebc-a5e0-894cae45cd43","2019-12-16"
"0007d7d1-08b6-5ebc-a5e0-894cae45cd43","2020-01-15"
"0007d7d1-08b6-5ebc-a5e0-894cae45cd43","2020-02-17"
"0007d7d1-08b6-5ebc-a5e0-894cae45cd43","2020-03-16"
"0007d7d1-08b6-5ebc-a5e0-894cae45cd43","2020-04-15"
"0007d7d1-08b6-5ebc-a5e0-894cae45cd43","2020-05-15"
"0007d7d1-08b6-5ebc-a5e0-894cae45cd43","2020-06-15"
"0007d7d1-08b6-5ebc-a5e0-894cae45cd43","2020-07-15"
"0007d7d1-08b6-5ebc-a5e0-894cae45cd43","2020-08-17"
"000c280c-f2a9-545d-90ba-b1d90db4fba6","2019-11-01"
"000c280c-f2a9-545d-90ba-b1d90db4fba6","2019-12-02"
"000c280c-f2a9-545d-90ba-b1d90db4fba6","2020-01-02"
"000c280c-f2a9-545d-90ba-b1d90db4fba6","2020-02-03"
"000c280c-f2a9-545d-90ba-b1d90db4fba6","2020-03-02"
"000c280c-f2a9-545d-90ba-b1d90db4fba6","2020-04-01"
"000c280c-f2a9-545d-90ba-b1d90db4fba6","2020-05-01"
"000c280c-f2a9-545d-90ba-b1d90db4fba6","2020-06-01"
"000c280c-f2a9-545d-90ba-b1d90db4fba6","2020-07-01"
"000c280c-f2a9-545d-90ba-b1d90db4fba6","2020-08-03"
"000c6a4a-39f5-5ebc-841d-96f958f44df4","2019-09-27"
"000c6a4a-39f5-5ebc-841d-96f958f44df4","2019-10-28"
"000c6a4a-39f5-5ebc-841d-96f958f44df4","2019-11-27"
"000c6a4a-39f5-5ebc-841d-96f958f44df4","2019-12-27"
"000c6a4a-39f5-5ebc-841d-96f958f44df4","2020-01-27"
"000c6a4a-39f5-5ebc-841d-96f958f44df4","2020-02-27"
"000c6a4a-39f5-5ebc-841d-96f958f44df4","2020-03-27"
"000c6a4a-39f5-5ebc-841d-96f958f44df4","2020-04-27"
"000c6a4a-39f5-5ebc-841d-96f958f44df4","2020-05-27"
"000c6a4a-39f5-5ebc-841d-96f958f44df4","2020-06-29"
"000c6a4a-39f5-5ebc-841d-96f958f44df4","2020-07-27"
"000c6a4a-39f5-5ebc-841d-96f958f44df4","2020-08-27"
"000c98b7-3bf4-5496-bbe5-69af1b7f7971","2020-04-14"
"000c98b7-3bf4-5496-bbe5-69af1b7f7971","2020-05-11"
"000c98b7-3bf4-5496-bbe5-69af1b7f7971","2020-06-10"
"000c98b7-3bf4-5496-bbe5-69af1b7f7971","2020-07-10"
"000c98b7-3bf4-5496-bbe5-69af1b7f7971","2020-08-10"
"000d881d-f730-57dc-8f2d-5414b71963d1","2019-06-10"
"000d881d-f730-57dc-8f2d-5414b71963d1","2019-07-10"
"000d881d-f730-57dc-8f2d-5414b71963d1","2019-08-12"
"000d881d-f730-57dc-8f2d-5414b71963d1","2019-09-10"
"000d881d-f730-57dc-8f2d-5414b71963d1","2019-10-10"
"000d881d-f730-57dc-8f2d-5414b71963d1","2019-11-11"
"000d881d-f730-57dc-8f2d-5414b71963d1","2019-12-10"
"000d881d-f730-57dc-8f2d-5414b71963d1","2020-01-10"
"000d881d-f730-57dc-8f2d-5414b71963d1","2020-02-10"
"000d881d-f730-57dc-8f2d-5414b71963d1","2020-03-10"
"000d881d-f730-57dc-8f2d-5414b71963d1","2020-04-14"
"000d881d-f730-57dc-8f2d-5414b71963d1","2020-05-11"
"000d881d-f730-57dc-8f2d-5414b71963d1","2020-06-10"
"000d881d-f730-57dc-8f2d-5414b71963d1","2020-07-10"
"000d881d-f730-57dc-8f2d-5414b71963d1","2020-08-10"
"000dad29-01a8-51ba-a431-a00b6aab8f59","2019-12-16"
"000dad29-01a8-51ba-a431-a00b6aab8f59","2020-01-14"
"000dad29-01a8-51ba-a431-a00b6aab8f59","2020-02-14"
"000dad29-01a8-51ba-a431-a00b6aab8f59","2020-03-16"
"000dad29-01a8-51ba-a431-a00b6aab8f59","2020-04-16"
"000dad29-01a8-51ba-a431-a00b6aab8f59","2020-05-15"
"000dad29-01a8-51ba-a431-a00b6aab8f59","2020-06-15"
"000dad29-01a8-51ba-a431-a00b6aab8f59","2020-07-14"
"000dad29-01a8-51ba-a431-a00b6aab8f59","2020-08-14"
"000e00f9-d40c-5fc1-b0f5-d94ce493ed18","2019-10-01"
"000e00f9-d40c-5fc1-b0f5-d94ce493ed18","2019-11-01"
"000e00f9-d40c-5fc1-b0f5-d94ce493ed18","2019-12-02"
"000e00f9-d40c-5fc1-b0f5-d94ce493ed18","2020-01-02"
"000e00f9-d40c-5fc1-b0f5-d94ce493ed18","2020-02-03"
"000e00f9-d40c-5fc1-b0f5-d94ce493ed18","2020-03-02"
"000e00f9-d40c-5fc1-b0f5-d94ce493ed18","2020-04-01"
"000e00f9-d40c-5fc1-b0f5-d94ce493ed18","2020-05-01"
"000e00f9-d40c-5fc1-b0f5-d94ce493ed18","2020-06-01"
"000e00f9-d40c-5fc1-b0f5-d94ce493ed18","2020-07-01"
"000e00f9-d40c-5fc1-b0f5-d94ce493ed18","2020-08-03"
